RollNo,SPI,CPI
16118001,9.81,9.6
16118002,8.6,8.61
16118003,9.36,9.55
16118005,9.45,9.59
16118006,9.09,9.13
16118007,8.63,8.63
16118008,8.69,8.24
16118009,8.9,9.03
16118010,9.09,9.13
16118011,8.75,9.03
16118013,7.84,7.6
16118014,8.81,8.87
16118015,8.93,9.2
16118016,8.87,9.12
16118017,8.78,8.74
16118018,9.42,9.39
16118019,8.45,8.79
16118020,9.6,8.93
16118021,8.66,8.59
16118022,9.54,9.53
16118023,9.45,9.41
16118024,9.72,9.5
16118025,8.51,8.44
16118026,8.36,8.38
16118027,9.42,9.49
16118028,9.03,8.55
16118029,7.57,7.3
16118031,9.54,9.57
16118032,7.09,7.81
16118033,9.54,9.7
16118034,8.3,8.32
16118035,9.69,9.67
16118036,8.6,7.95
16118037,8.09,7.85
16118038,7.96,7.7
16118039,8.33,8.4
16118040,9.12,9.1
16118041,9.33,9.4
16118042,8.21,8.41
16118043,9.69,9.54
16118044,8.0,8.19
16118045,7.96,7.83
16118046,9.12,9.28
16118047,9.45,9.44
16118049,9.39,9.28
16118050,9.75,9.62
16118051,9.63,9.55
16118052,7.87,8.34
16118053,8.75,8.72
16118054,8.36,8.34
16118055,7.81,7.8
16118056,7.78,7.58
16118057,0.0,0.0
16118058,7.9,7.99
16118059,8.96,8.86
16118060,7.36,7.15
16118061,9.09,9.03
16118062,0.0,0.0
16118063,9.09,9.28
16118064,8.48,8.89
16118065,8.81,9.03
16118066,9.69,9.61
16118067,8.78,8.34
16118068,8.81,8.3
16118069,8.57,8.24
16118070,8.9,8.67
16118071,9.21,9.36
16118072,8.18,8.43
16118073,8.3,8.28
16118074,8.45,7.81
16118075,7.93,8.33
16118076,8.15,7.81
16118077,9.81,9.68
16118078,9.69,9.5
16118079,7.33,6.9
16118080,8.12,7.82
16118081,9.24,8.77
16118082,8.84,8.95
16118083,7.96,8.43
16118084,8.15,8.23
16118085,9.42,9.54
16118901,9.42,9.33
16118902,8.75,8.94
16118903,9.75,9.51
16118904,9.6,9.48
16118905,9.18,9.18
16118906,9.6,9.24
16118907,9.45,9.41
16118908,9.27,9.25
16118909,9.51,9.4
16118910,9.45,9.45
